,time,file,y,color,planet,last_value
0,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc0,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
1,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc1,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
2,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc2,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
3,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc3,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
4,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc4,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
5,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc5,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
6,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc6,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
7,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc0_cvisc7,[1. 1. 1. ... 1. 1. 1.],orange,c,1.0
8,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc1_cvisc0,[0.99999996 0.99999995 0.99999994 ... 0.99218341 0.99218587 0.99218827],orange,c,0.9921882669608837
9,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc1_cvisc1,[0.99999997 0.99999997 0.99999996 ... 0.58874199 0.58876703 0.5887921 ],orange,c,0.5887920959348906
10,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc1_cvisc2,[0.99999998 0.99999998 0.99999997 ... 0.33722272 0.33722702 0.33723133],orange,c,0.3372313344958916
11,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc1_cvisc3,[0.99999999 0.99999998 0.99999998 ... 0.30028783 0.30028778 0.30028773],orange,c,0.30028772739357945
12,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass0_cecc1_cvisc4,[0.99999999 0.99999999 0.99999999 ... 0.31432586 0.31432424 0.31432262],orange,c,0.31432262406984474
